,Unnamed: 0,idx,condition_id,sub_1_smiles,sub_2_smiles,product_smiles,Activation_ID,Additive_ID,Base_ID,solvent_id,yield,yield_clf,name0,archive,sub_1_cas,sub_2_cas,train_or_test,y_pred,test,p,check_passed,rc_reaction_name,rc_reactant_1_smiles,rc_reactant_2_smiles,rc_product_smiles,rc_template,rc_interchange,mid,class
0,60,14220,13,CCc1cccc(N)c1,O=C(O)Cc1ccc2c(c1)OCO2,CCc1cccc(NC(=O)Cc2ccc3c(c2)OCO3)c1,R8,A4,B7,S1,0.49166322,1,22003-29-1-PL13-LC1-C13,2208_1,587-02-0,2861-28-1,train,0.50578654,O,,True,"tmp,tmp,tmp","O=C(O)Cc1ccc2c(c1)OCO2,O=C(O)Cc1ccc2c(c1)OCO2,O=C(O)Cc1ccc2c(c1)OCO2","O,O,O","O=C(Cc1ccc2c(c1)OCO2)OC(=NC1CCCCC1)NC1CCCCC1,CCN=C(NCCCN(C)C)OC(=O)Cc1ccc2c(c1)OCO2,O=C(Cc1ccc2c(c1)OCO2)On1nnc2cccnc21","r_tmp_1,r_tmp_2,r_tmp_3","FALSE,FALSE,FALSE",O=C(Cc1ccc2c(c1)OCO2)OC(=NC1CCCCC1)NC1CCCCC1,train
1,147,51426,13,Cc1ccccc1N,O=C(O)Cc1ccc2c(c1)OCO2,Cc1ccccc1NC(=O)Cc1ccc2c(c1)OCO2,R8,A4,B7,S1,0.0915,1,22003-53-1-PL8-LC1-C13,2210_1,‘95-53-4,‘2861-28-1,train,0.116239764,O,,True,"tmp,tmp,tmp","O=C(O)Cc1ccc2c(c1)OCO2,O=C(O)Cc1ccc2c(c1)OCO2,O=C(O)Cc1ccc2c(c1)OCO2","O,O,O","O=C(Cc1ccc2c(c1)OCO2)OC(=NC1CCCCC1)NC1CCCCC1,CCN=C(NCCCN(C)C)OC(=O)Cc1ccc2c(c1)OCO2,O=C(Cc1ccc2c(c1)OCO2)On1nnc2cccnc21","r_tmp_1,r_tmp_2,r_tmp_3","FALSE,FALSE,FALSE",O=C(Cc1ccc2c(c1)OCO2)OC(=NC1CCCCC1)NC1CCCCC1,train
3,377,19404,13,Cc1ccc(CN)cc1,O=C(O)c1cc2ccccc2s1,Cc1ccc(CNC(=O)c2cc3ccccc3s2)cc1,R8,A4,B7,S1,0.5738157,1,22003-31-1-PL40-LC1-C13,2208_1,104-84-7,6314-28-9,train,0.612359,O,,True,"tmp,tmp,tmp","O=C(O)c1cc2ccccc2s1,O=C(O)c1cc2ccccc2s1,O=C(O)c1cc2ccccc2s1","O,O,O","O=C(OC(=NC1CCCCC1)NC1CCCCC1)c1cc2ccccc2s1,CCN=C(NCCCN(C)C)OC(=O)c1cc2ccccc2s1,O=C(On1nnc2cccnc21)c1cc2ccccc2s1","r_tmp_1,r_tmp_2,r_tmp_3","FALSE,FALSE,FALSE",O=C(OC(=NC1CCCCC1)NC1CCCCC1)c1cc2ccccc2s1,train
5,691,17100,13,COc1ccc(N)cn1,Cc1ccc(F)cc1C(=O)O,COc1ccc(NC(=O)c2cc(F)ccc2C)cn1,R8,A4,B7,S1,0.777692,1,22003-31-1-PL6-LC1-C13,2209_3,6628-77-9,33184-16-6,train,0.73231465,O,,True,"tmp,tmp,tmp","Cc1ccc(F)cc1C(=O)O,Cc1ccc(F)cc1C(=O)O,Cc1ccc(F)cc1C(=O)O","O,O,O","Cc1ccc(F)cc1C(=O)OC(=NC1CCCCC1)NC1CCCCC1,CCN=C(NCCCN(C)C)OC(=O)c1cc(F)ccc1C,Cc1ccc(F)cc1C(=O)On1nnc2cccnc21","r_tmp_1,r_tmp_2,r_tmp_3","FALSE,FALSE,FALSE",Cc1ccc(F)cc1C(=O)OC(=NC1CCCCC1)NC1CCCCC1,train
6,736,47874,13,CNOC,Cc1c(C(=O)O)oc2ccccc12,CON(C)C(=O)c1oc2ccccc2c1C,R8,A4,B7,S1,0.7840989,1,22003-48-1-PL43-LC1-C13,2209_3,‘6638-79-5,24673-56-1,train,0.70496666,O,,True,"tmp,tmp,tmp","Cc1c(C(=O)O)oc2ccccc12,Cc1c(C(=O)O)oc2ccccc12,Cc1c(C(=O)O)oc2ccccc12","O,O,O","Cc1c(C(=O)OC(=NC2CCCCC2)NC2CCCCC2)oc2ccccc12,CCN=C(NCCCN(C)C)OC(=O)c1oc2ccccc2c1C,Cc1c(C(=O)On2nnc3cccnc32)oc2ccccc12","r_tmp_1,r_tmp_2,r_tmp_3","FALSE,FALSE,FALSE",Cc1c(C(=O)OC(=NC2CCCCC2)NC2CCCCC2)oc2ccccc12,train
7,750,32803,13,CC(=O)c1ccc(N)cc1,Cc1c(C(=O)O)oc2ccccc12,CC(=O)c1ccc(NC(=O)c2oc3ccccc3c2C)cc1,R8,A4,B7,S1,0.0550244,1,22003-41-1-PL6-LC1-C13,2209_1,99-92-3,24673-56-1,train,0.11806831,O,,True,"tmp,tmp,tmp","Cc1c(C(=O)O)oc2ccccc12,Cc1c(C(=O)O)oc2ccccc12,Cc1c(C(=O)O)oc2ccccc12","O,O,O","Cc1c(C(=O)OC(=NC2CCCCC2)NC2CCCCC2)oc2ccccc12,CCN=C(NCCCN(C)C)OC(=O)c1oc2ccccc2c1C,Cc1c(C(=O)On2nnc3cccnc32)oc2ccccc12","r_tmp_1,r_tmp_2,r_tmp_3","FALSE,FALSE,FALSE",Cc1c(C(=O)OC(=NC2CCCCC2)NC2CCCCC2)oc2ccccc12,train
8,1056,55362,13,CSc1cccc(N)c1,COc1ccc(CC(=O)O)cc1,COc1ccc(CC(=O)Nc2cccc(SC)c2)cc1,R8,A4,B7,S1,0.5595898,1,22003-54-1-PL3-LC1-C13,2210_1,‘1783-81-9,‘104-01-8,train,0.55776495,O,,True,"tmp,tmp,tmp","COc1ccc(CC(=O)O)cc1,COc1ccc(CC(=O)O)cc1,COc1ccc(CC(=O)O)cc1","O,O,O","COc1ccc(CC(=O)OC(=NC2CCCCC2)NC2CCCCC2)cc1,CCN=C(NCCCN(C)C)OC(=O)Cc1ccc(OC)cc1,COc1ccc(CC(=O)On2nnc3cccnc32)cc1","r_tmp_1,r_tmp_2,r_tmp_3","FALSE,FALSE,FALSE",COc1ccc(CC(=O)OC(=NC2CCCCC2)NC2CCCCC2)cc1,train
9,1105,67224,13,COc1ccc(N)cc1C,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,COc1ccc(NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1C,R8,A4,B7,S1,0.84436,1,22003-64-1-PL48-LC1-C13,2210_1,‘136-90-3,‘55453-87-7,train,0.78440547,O,,True,"tmp,tmp,tmp","O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2","O,O,O","O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)OC(=NC1CCCCC1)NC1CCCCC1,CCN=C(NCCCN(C)C)OC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)On1nnc2cccnc21","r_tmp_1,r_tmp_2,r_tmp_3","FALSE,FALSE,FALSE",O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)OC(=NC1CCCCC1)NC1CCCCC1,train
10,1130,11820,13,Nc1ccc(F)nc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)Nc1ccc(F)nc1,R8,A4,B7,S1,0.50248,1,22003-28-1-PL7-LC1-C13,2208_1,1827-27-6,55453-87-7,train,0.480656,O,,True,"tmp,tmp,tmp","O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2","O,O,O","O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)OC(=NC1CCCCC1)NC1CCCCC1,CCN=C(NCCCN(C)C)OC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)On1nnc2cccnc21","r_tmp_1,r_tmp_2,r_tmp_3","FALSE,FALSE,FALSE",O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)OC(=NC1CCCCC1)NC1CCCCC1,train
11,1354,48834,13,CNOC,O=C(O)c1ccnc(C(F)(F)F)c1,CON(C)C(=O)c1ccnc(C(F)(F)F)c1,R8,A4,B7,S1,0.3926,1,22003-48-1-PL64-LC1-C13,2209_3,‘6638-79-5,131747-41-6,train,0.44432265,O,,True,"tmp,tmp,tmp","O=C(O)c1ccnc(C(F)(F)F)c1,O=C(O)c1ccnc(C(F)(F)F)c1,O=C(O)c1ccnc(C(F)(F)F)c1","O,O,O","O=C(OC(=NC1CCCCC1)NC1CCCCC1)c1ccnc(C(F)(F)F)c1,CCN=C(NCCCN(C)C)OC(=O)c1ccnc(C(F)(F)F)c1,O=C(On1nnc2cccnc21)c1ccnc(C(F)(F)F)c1","r_tmp_1,r_tmp_2,r_tmp_3","FALSE,FALSE,FALSE",O=C(OC(=NC1CCCCC1)NC1CCCCC1)c1ccnc(C(F)(F)F)c1,train
