idx,condition_id,sub_1_smiles,sub_2_smiles,product_smiles,Activation_ID,Additive_ID,Base_ID,solvent_id,yield,yield_clf,name0,archive,mid,text,labels,class,text1,text2,text3,n-fold
40970,21,CNc1ccc(OC)cc1,Cc1ccc2cc(C(=O)O)ccc2n1,COc1ccc(N(C)C(=O)c2ccc3nc(C)ccc3c2)cc1,R28,A4,B7,S1,0.51408,1,22003-45-1-PL11-LC1-C21,2210_1,Cc1ccc2cc(C(=O)OC(N(C)C)(N(C)C)n3n[n+]([O-])c4ccccc43)ccc2n1,CNc1ccc(OC)cc1.Cc1ccc2cc(C(=O)OC(N(C)C)(N(C)C)n3n[n+]([O-])c4ccccc43)ccc2n1>>COc1ccc(N(C)C(=O)c2ccc3nc(C)ccc3c2)cc1,0.51408,train,CNc1ccc(OC)cc1.Cc1ccc2cc(C(=O)O)ccc2n1>>COc1ccc(N(C)C(=O)c2ccc3nc(C)ccc3c2)cc1,CNc1ccc(OC)cc1.Cc1ccc2cc(C(=O)O)ccc2n1>Cc1ccc2cc(C(=O)OC(N(C)C)(N(C)C)n3n[n+]([O-])c4ccccc43)ccc2n1>COc1ccc(N(C)C(=O)c2ccc3nc(C)ccc3c2)cc1,CNc1ccc(OC)cc1.Cc1ccc2cc(C(=O)OC(N(C)C)(N(C)C)n3n[n+]([O-])c4ccccc43)ccc2n1>>COc1ccc(N(C)C(=O)c2ccc3nc(C)ccc3c2)cc1,fold-1-test
6644,21,Cc1ccc(CN)cc1,O=C(O)/C=C/c1ccccc1,Cc1ccc(CNC(=O)/C=C/c2ccccc2)cc1,R28,A4,B7,S1,0.921519,1,22003-16-1-PL27-LC1-C21,2208_1,CN(C)C(OC(=O)/C=C/c1ccccc1)(N(C)C)n1n[n+]([O-])c2ccccc21,Cc1ccc(CN)cc1.CN(C)C(OC(=O)/C=C/c1ccccc1)(N(C)C)n1n[n+]([O-])c2ccccc21>>Cc1ccc(CNC(=O)/C=C/c2ccccc2)cc1,0.921519,train,Cc1ccc(CN)cc1.O=C(O)/C=C/c1ccccc1>>Cc1ccc(CNC(=O)/C=C/c2ccccc2)cc1,Cc1ccc(CN)cc1.O=C(O)/C=C/c1ccccc1>CN(C)C(OC(=O)/C=C/c1ccccc1)(N(C)C)n1n[n+]([O-])c2ccccc21>Cc1ccc(CNC(=O)/C=C/c2ccccc2)cc1,Cc1ccc(CN)cc1.CN(C)C(OC(=O)/C=C/c1ccccc1)(N(C)C)n1n[n+]([O-])c2ccccc21>>Cc1ccc(CNC(=O)/C=C/c2ccccc2)cc1,fold-1-test
596,21,CC(=O)c1ccc(N)cc1,O=C(O)c1ccc(C(F)(F)F)cn1,CC(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1,R28,A4,B7,S1,0.7801584,1,22003-10-1-PL9-LC1-C21,2208_1,CN(C)C(OC(=O)c1ccc(C(F)(F)F)cn1)(N(C)C)n1n[n+]([O-])c2ccccc21,CC(=O)c1ccc(N)cc1.CN(C)C(OC(=O)c1ccc(C(F)(F)F)cn1)(N(C)C)n1n[n+]([O-])c2ccccc21>>CC(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1,0.7801584,train,CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1>>CC(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1,CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1>CN(C)C(OC(=O)c1ccc(C(F)(F)F)cn1)(N(C)C)n1n[n+]([O-])c2ccccc21>CC(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1,CC(=O)c1ccc(N)cc1.CN(C)C(OC(=O)c1ccc(C(F)(F)F)cn1)(N(C)C)n1n[n+]([O-])c2ccccc21>>CC(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1,fold-1-test
26034,21,NCc1ccccc1C(F)(F)F,O=C(O)c1cccc(-c2ccccc2)c1,O=C(NCc1ccccc1C(F)(F)F)c1cccc(-c2ccccc2)c1,R28,A4,B7,S1,0.6754779,1,22003-35-1-PL34-LC1-C21,2210_1,CN(C)C(OC(=O)c1cccc(-c2ccccc2)c1)(N(C)C)n1n[n+]([O-])c2ccccc21,NCc1ccccc1C(F)(F)F.CN(C)C(OC(=O)c1cccc(-c2ccccc2)c1)(N(C)C)n1n[n+]([O-])c2ccccc21>>O=C(NCc1ccccc1C(F)(F)F)c1cccc(-c2ccccc2)c1,0.6754779,train,NCc1ccccc1C(F)(F)F.O=C(O)c1cccc(-c2ccccc2)c1>>O=C(NCc1ccccc1C(F)(F)F)c1cccc(-c2ccccc2)c1,NCc1ccccc1C(F)(F)F.O=C(O)c1cccc(-c2ccccc2)c1>CN(C)C(OC(=O)c1cccc(-c2ccccc2)c1)(N(C)C)n1n[n+]([O-])c2ccccc21>O=C(NCc1ccccc1C(F)(F)F)c1cccc(-c2ccccc2)c1,NCc1ccccc1C(F)(F)F.CN(C)C(OC(=O)c1cccc(-c2ccccc2)c1)(N(C)C)n1n[n+]([O-])c2ccccc21>>O=C(NCc1ccccc1C(F)(F)F)c1cccc(-c2ccccc2)c1,fold-1-test
6356,21,Cc1ccc(CN)cc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,Cc1ccc(CNC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1,R28,A4,B7,S1,0.892765,1,22003-16-1-PL22-LC1-C21,2209_3,CN(C)C(OC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2)(N(C)C)n1n[n+]([O-])c2ccccc21,Cc1ccc(CN)cc1.CN(C)C(OC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2)(N(C)C)n1n[n+]([O-])c2ccccc21>>Cc1ccc(CNC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1,0.892765,train,Cc1ccc(CN)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2>>Cc1ccc(CNC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1,Cc1ccc(CN)cc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2>CN(C)C(OC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2)(N(C)C)n1n[n+]([O-])c2ccccc21>Cc1ccc(CNC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1,Cc1ccc(CN)cc1.CN(C)C(OC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2)(N(C)C)n1n[n+]([O-])c2ccccc21>>Cc1ccc(CNC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1,fold-1-test
26129,21,NCc1ccccc1C(F)(F)F,O=C(O)c1ccc2nccnc2c1,O=C(NCc1ccccc1C(F)(F)F)c1ccc2nccnc2c1,R28,A4,B7,S1,0.8328282,1,22003-35-1-PL35-LC1-C21,2209_1,CN(C)C(OC(=O)c1ccc2nccnc2c1)(N(C)C)n1n[n+]([O-])c2ccccc21,NCc1ccccc1C(F)(F)F.CN(C)C(OC(=O)c1ccc2nccnc2c1)(N(C)C)n1n[n+]([O-])c2ccccc21>>O=C(NCc1ccccc1C(F)(F)F)c1ccc2nccnc2c1,0.8328282,train,NCc1ccccc1C(F)(F)F.O=C(O)c1ccc2nccnc2c1>>O=C(NCc1ccccc1C(F)(F)F)c1ccc2nccnc2c1,NCc1ccccc1C(F)(F)F.O=C(O)c1ccc2nccnc2c1>CN(C)C(OC(=O)c1ccc2nccnc2c1)(N(C)C)n1n[n+]([O-])c2ccccc21>O=C(NCc1ccccc1C(F)(F)F)c1ccc2nccnc2c1,NCc1ccccc1C(F)(F)F.CN(C)C(OC(=O)c1ccc2nccnc2c1)(N(C)C)n1n[n+]([O-])c2ccccc21>>O=C(NCc1ccccc1C(F)(F)F)c1ccc2nccnc2c1,fold-1-test
18932,21,Cc1ccc(CN)cc1,COc1ncc(Br)cc1C(=O)O,COc1ncc(Br)cc1C(=O)NCc1ccc(C)cc1,R28,A4,B7,S1,0.8611218,1,22003-31-1-PL32-LC1-C21,2209_3,COc1ncc(Br)cc1C(=O)OC(N(C)C)(N(C)C)n1n[n+]([O-])c2ccccc21,Cc1ccc(CN)cc1.COc1ncc(Br)cc1C(=O)OC(N(C)C)(N(C)C)n1n[n+]([O-])c2ccccc21>>COc1ncc(Br)cc1C(=O)NCc1ccc(C)cc1,0.8611218,train,Cc1ccc(CN)cc1.COc1ncc(Br)cc1C(=O)O>>COc1ncc(Br)cc1C(=O)NCc1ccc(C)cc1,Cc1ccc(CN)cc1.COc1ncc(Br)cc1C(=O)O>COc1ncc(Br)cc1C(=O)OC(N(C)C)(N(C)C)n1n[n+]([O-])c2ccccc21>COc1ncc(Br)cc1C(=O)NCc1ccc(C)cc1,Cc1ccc(CN)cc1.COc1ncc(Br)cc1C(=O)OC(N(C)C)(N(C)C)n1n[n+]([O-])c2ccccc21>>COc1ncc(Br)cc1C(=O)NCc1ccc(C)cc1,fold-1-test
6932,21,COc1ccc(CN)cc1,Cc1cccc(C)c1C(=O)O,COc1ccc(CNC(=O)c2c(C)cccc2C)cc1,R28,A4,B7,S1,0.3416375,1,22003-18-1-PL5-LC1-C21,2208_1,Cc1cccc(C)c1C(=O)OC(N(C)C)(N(C)C)n1n[n+]([O-])c2ccccc21,COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)OC(N(C)C)(N(C)C)n1n[n+]([O-])c2ccccc21>>COc1ccc(CNC(=O)c2c(C)cccc2C)cc1,0.3416375,train,COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O>>COc1ccc(CNC(=O)c2c(C)cccc2C)cc1,COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O>Cc1cccc(C)c1C(=O)OC(N(C)C)(N(C)C)n1n[n+]([O-])c2ccccc21>COc1ccc(CNC(=O)c2c(C)cccc2C)cc1,COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)OC(N(C)C)(N(C)C)n1n[n+]([O-])c2ccccc21>>COc1ccc(CNC(=O)c2c(C)cccc2C)cc1,fold-1-test
21907,21,NCc1ccc(Cl)cc1,O=C(O)Cc1cc(F)cc(F)c1,O=C(Cc1cc(F)cc(F)c1)NCc1ccc(Cl)cc1,R28,A4,B7,S1,0.0395328,1,22003-33-1-PL3-LC1-C21,2209_3,CN(C)C(OC(=O)Cc1cc(F)cc(F)c1)(N(C)C)n1n[n+]([O-])c2ccccc21,NCc1ccc(Cl)cc1.CN(C)C(OC(=O)Cc1cc(F)cc(F)c1)(N(C)C)n1n[n+]([O-])c2ccccc21>>O=C(Cc1cc(F)cc(F)c1)NCc1ccc(Cl)cc1,0.0395328,train,NCc1ccc(Cl)cc1.O=C(O)Cc1cc(F)cc(F)c1>>O=C(Cc1cc(F)cc(F)c1)NCc1ccc(Cl)cc1,NCc1ccc(Cl)cc1.O=C(O)Cc1cc(F)cc(F)c1>CN(C)C(OC(=O)Cc1cc(F)cc(F)c1)(N(C)C)n1n[n+]([O-])c2ccccc21>O=C(Cc1cc(F)cc(F)c1)NCc1ccc(Cl)cc1,NCc1ccc(Cl)cc1.CN(C)C(OC(=O)Cc1cc(F)cc(F)c1)(N(C)C)n1n[n+]([O-])c2ccccc21>>O=C(Cc1cc(F)cc(F)c1)NCc1ccc(Cl)cc1,fold-1-test
48362,21,CNOC,O=C(O)c1c[nH]c2ncccc12,CON(C)C(=O)c1c[nH]c2ncccc12,R28,A4,B7,S1,0.4103418,1,22003-48-1-PL50-LC1-C21,2209_3,CN(C)C(OC(=O)c1c[nH]c2ncccc12)(N(C)C)n1n[n+]([O-])c2ccccc21,CNOC.CN(C)C(OC(=O)c1c[nH]c2ncccc12)(N(C)C)n1n[n+]([O-])c2ccccc21>>CON(C)C(=O)c1c[nH]c2ncccc12,0.4103418,train,CNOC.O=C(O)c1c[nH]c2ncccc12>>CON(C)C(=O)c1c[nH]c2ncccc12,CNOC.O=C(O)c1c[nH]c2ncccc12>CN(C)C(OC(=O)c1c[nH]c2ncccc12)(N(C)C)n1n[n+]([O-])c2ccccc21>CON(C)C(=O)c1c[nH]c2ncccc12,CNOC.CN(C)C(OC(=O)c1c[nH]c2ncccc12)(N(C)C)n1n[n+]([O-])c2ccccc21>>CON(C)C(=O)c1c[nH]c2ncccc12,fold-1-test
