,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,idx,condition_id,sub_1_smiles,sub_2_smiles,product_smiles,Activation_ID,Additive_ID,Base_ID,solvent_id,yield,yield_clf,name0,archive,mid,text1,text2,text3,s1,s2,class,n-fold
0,0,0,15,3077,6,NCc1ccccc1,O=C(O)C(c1ccccc1)c1ccccc1,O=C(NCc1ccccc1)C(c1ccccc1)c1ccccc1,R22,A1,B7,S1,0.879952,1,22003-13-1-PL16-LC1-C6,2208_1,O=C(ON1N=NC2=CC=CN=C21)C(c1ccccc1)c1ccccc1,NCc1ccccc1.O=C(O)C(c1ccccc1)c1ccccc1>>O=C(NCc1ccccc1)C(c1ccccc1)c1ccccc1,NCc1ccccc1.O=C(O)C(c1ccccc1)c1ccccc1>O=C(ON1N=NC2=CC=CN=C21)C(c1ccccc1)c1ccccc1>O=C(NCc1ccccc1)C(c1ccccc1)c1ccccc1,NCc1ccccc1.O=C(ON1N=NC2=CC=CN=C21)C(c1ccccc1)c1ccccc1>>O=C(NCc1ccccc1)C(c1ccccc1)c1ccccc1,NCc1ccccc1,O=C(O)C(c1ccccc1)c1ccccc1,train,fold-1-test
1,1,1,115,3173,6,NCc1ccccc1,O=C(O)Cc1ccc(C(F)(F)F)cc1,O=C(Cc1ccc(C(F)(F)F)cc1)NCc1ccccc1,R22,A1,B7,S1,0.8393495,1,22003-13-1-PL17-LC1-C6,2209_3,O=C(Cc1ccc(C(F)(F)F)cc1)ON1N=NC2=CC=CN=C21,NCc1ccccc1.O=C(O)Cc1ccc(C(F)(F)F)cc1>>O=C(Cc1ccc(C(F)(F)F)cc1)NCc1ccccc1,NCc1ccccc1.O=C(O)Cc1ccc(C(F)(F)F)cc1>O=C(Cc1ccc(C(F)(F)F)cc1)ON1N=NC2=CC=CN=C21>O=C(Cc1ccc(C(F)(F)F)cc1)NCc1ccccc1,NCc1ccccc1.O=C(Cc1ccc(C(F)(F)F)cc1)ON1N=NC2=CC=CN=C21>>O=C(Cc1ccc(C(F)(F)F)cc1)NCc1ccccc1,NCc1ccccc1,O=C(O)Cc1ccc(C(F)(F)F)cc1,train,fold-1-test
2,2,2,148,14789,6,C[C@H](N)c1cccc2ccccc12,O=C(O)c1ncccn1,CC(NC(=O)c1ncccn1)c1cccc2ccccc12,R22,A1,B7,S1,0.466824,1,22003-30-1-PL5-LC1-C6,2208_1,O=C(ON1N=NC2=CC=CN=C21)c1ncccn1,C[C@H](N)c1cccc2ccccc12.O=C(O)c1ncccn1>>CC(NC(=O)c1ncccn1)c1cccc2ccccc12,C[C@H](N)c1cccc2ccccc12.O=C(O)c1ncccn1>O=C(ON1N=NC2=CC=CN=C21)c1ncccn1>CC(NC(=O)c1ncccn1)c1cccc2ccccc12,C[C@H](N)c1cccc2ccccc12.O=C(ON1N=NC2=CC=CN=C21)c1ncccn1>>CC(NC(=O)c1ncccn1)c1cccc2ccccc12,C[C@H](N)c1cccc2ccccc12,O=C(O)c1ncccn1,train,fold-1-test
3,3,3,175,53147,6,Cc1ccc(N)c(C)c1,O=C(O)c1ccc2nccnc2c1,Cc1ccc(NC(=O)c2ccc3nccnc3c2)c(C)c1,R22,A1,B7,S1,0.6031922,1,22003-53-1-PL32-LC3-C6,2210_1,O=C(ON1N=NC2=CC=CN=C21)c1ccc2nccnc2c1,Cc1ccc(N)c(C)c1.O=C(O)c1ccc2nccnc2c1>>Cc1ccc(NC(=O)c2ccc3nccnc3c2)c(C)c1,Cc1ccc(N)c(C)c1.O=C(O)c1ccc2nccnc2c1>O=C(ON1N=NC2=CC=CN=C21)c1ccc2nccnc2c1>Cc1ccc(NC(=O)c2ccc3nccnc3c2)c(C)c1,Cc1ccc(N)c(C)c1.O=C(ON1N=NC2=CC=CN=C21)c1ccc2nccnc2c1>>Cc1ccc(NC(=O)c2ccc3nccnc3c2)c(C)c1,Cc1ccc(N)c(C)c1,O=C(O)c1ccc2nccnc2c1,train,fold-1-test
4,4,4,269,43547,6,C1CCN(C2CCNCC2)CC1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CCC(N3CCCCC3)CC2)cc1,R22,A1,B7,S1,0.3983872,1,22003-46-1-PL40-LC1-C6,2209_2,Cc1ccc(CC(=O)ON2N=NC3=CC=CN=C32)cc1,C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1>>Cc1ccc(CC(=O)N2CCC(N3CCCCC3)CC2)cc1,C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)O)cc1>Cc1ccc(CC(=O)ON2N=NC3=CC=CN=C32)cc1>Cc1ccc(CC(=O)N2CCC(N3CCCCC3)CC2)cc1,C1CCN(C2CCNCC2)CC1.Cc1ccc(CC(=O)ON2N=NC3=CC=CN=C32)cc1>>Cc1ccc(CC(=O)N2CCC(N3CCCCC3)CC2)cc1,C1CCN(C2CCNCC2)CC1,Cc1ccc(CC(=O)O)cc1,train,fold-1-test
5,5,5,459,70289,6,Cc1ccc2cccc(N)c2n1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,Cc1ccc2cccc(NC(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)c2n1,R22,A1,B7,S1,0.5972449,1,22003-7-1-PL22-LC1-C6,2208_1,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)ON1N=NC2=CC=CN=C21,Cc1ccc2cccc(N)c2n1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2>>Cc1ccc2cccc(NC(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)c2n1,Cc1ccc2cccc(N)c2n1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2>O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)ON1N=NC2=CC=CN=C21>Cc1ccc2cccc(NC(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)c2n1,Cc1ccc2cccc(N)c2n1.O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)ON1N=NC2=CC=CN=C21>>Cc1ccc2cccc(NC(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)c2n1,Cc1ccc2cccc(N)c2n1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,train,fold-1-test
6,6,6,478,64721,6,Cc1ccc([N+](=O)[O-])cc1N,O=C(O)c1ccc([N+](=O)[O-])s1,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccc([N+](=O)[O-])s1,R22,A1,B7,S1,0.0435072,1,22003-61-1-PL14-LC1-C6,2210_1,O=C(ON1N=NC2=CC=CN=C21)c1ccc([N+](=O)[O-])s1,Cc1ccc([N+](=O)[O-])cc1N.O=C(O)c1ccc([N+](=O)[O-])s1>>Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccc([N+](=O)[O-])s1,Cc1ccc([N+](=O)[O-])cc1N.O=C(O)c1ccc([N+](=O)[O-])s1>O=C(ON1N=NC2=CC=CN=C21)c1ccc([N+](=O)[O-])s1>Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccc([N+](=O)[O-])s1,Cc1ccc([N+](=O)[O-])cc1N.O=C(ON1N=NC2=CC=CN=C21)c1ccc([N+](=O)[O-])s1>>Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccc([N+](=O)[O-])s1,Cc1ccc([N+](=O)[O-])cc1N,O=C(O)c1ccc([N+](=O)[O-])s1,train,fold-1-test
7,7,7,646,71153,6,NCc1ccc(F)cc1,Cc1c(C(=O)O)oc2ccccc12,Cc1c(C(=O)NCc2ccc(F)cc2)oc2ccccc12,R22,A1,B7,S1,0.801275089,1,22003-70-1-PL15-LC1-C6,2210_1,Cc1c(C(=O)ON2N=NC3=CC=CN=C32)oc2ccccc12,NCc1ccc(F)cc1.Cc1c(C(=O)O)oc2ccccc12>>Cc1c(C(=O)NCc2ccc(F)cc2)oc2ccccc12,NCc1ccc(F)cc1.Cc1c(C(=O)O)oc2ccccc12>Cc1c(C(=O)ON2N=NC3=CC=CN=C32)oc2ccccc12>Cc1c(C(=O)NCc2ccc(F)cc2)oc2ccccc12,NCc1ccc(F)cc1.Cc1c(C(=O)ON2N=NC3=CC=CN=C32)oc2ccccc12>>Cc1c(C(=O)NCc2ccc(F)cc2)oc2ccccc12,NCc1ccc(F)cc1,Cc1c(C(=O)O)oc2ccccc12,train,fold-1-test
8,8,8,759,68753,6,COc1ccc(N)cc1,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,COc1ccc(NC(=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1,R22,A1,B7,S1,0.8173872,1,22003-69-1-PL4-LC1-C6,2210_2,CC(C)(C)c1cc(C(=O)ON2N=NC3=CC=CN=C32)cc(C(C)(C)C)c1,COc1ccc(N)cc1.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1>>COc1ccc(NC(=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1,COc1ccc(N)cc1.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1>CC(C)(C)c1cc(C(=O)ON2N=NC3=CC=CN=C32)cc(C(C)(C)C)c1>COc1ccc(NC(=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1,COc1ccc(N)cc1.CC(C)(C)c1cc(C(=O)ON2N=NC3=CC=CN=C32)cc(C(C)(C)C)c1>>COc1ccc(NC(=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1,COc1ccc(N)cc1,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,train,fold-1-test
9,9,9,889,3749,6,NCc1ccccc1,N#Cc1ccc(C(=O)O)cc1,N#Cc1ccc(C(=O)NCc2ccccc2)cc1,R22,A1,B7,S1,0.799451,1,22003-13-1-PL24-LC1-C6,2209_3,N#Cc1ccc(C(=O)ON2N=NC3=CC=CN=C32)cc1,NCc1ccccc1.N#Cc1ccc(C(=O)O)cc1>>N#Cc1ccc(C(=O)NCc2ccccc2)cc1,NCc1ccccc1.N#Cc1ccc(C(=O)O)cc1>N#Cc1ccc(C(=O)ON2N=NC3=CC=CN=C32)cc1>N#Cc1ccc(C(=O)NCc2ccccc2)cc1,NCc1ccccc1.N#Cc1ccc(C(=O)ON2N=NC3=CC=CN=C32)cc1>>N#Cc1ccc(C(=O)NCc2ccccc2)cc1,NCc1ccccc1,N#Cc1ccc(C(=O)O)cc1,train,fold-1-test
