idx,sub_1_smiles,sub_2_smiles,product_smiles
0,NCc1ccccc1,O=C(O)C(c1ccccc1)c1ccccc1,O=C(NCc1ccccc1)C(c1ccccc1)c1ccccc1
1,NCc1ccccc1,O=C(O)Cc1ccc(C(F)(F)F)cc1,O=C(Cc1ccc(C(F)(F)F)cc1)NCc1ccccc1
2,C[C@H](N)c1cccc2ccccc12,O=C(O)c1ncccn1,CC(NC(=O)c1ncccn1)c1cccc2ccccc12
3,Cc1ccc(N)c(C)c1,O=C(O)c1ccc2nccnc2c1,Cc1ccc(NC(=O)c2ccc3nccnc3c2)c(C)c1
4,C1CCN(C2CCNCC2)CC1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CCC(N3CCCCC3)CC2)cc1
5,Cc1ccc2cccc(N)c2n1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,Cc1ccc2cccc(NC(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)c2n1
6,Cc1ccc([N+](=O)[O-])cc1N,O=C(O)c1ccc([N+](=O)[O-])s1,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccc([N+](=O)[O-])s1
7,NCc1ccc(F)cc1,Cc1c(C(=O)O)oc2ccccc12,Cc1c(C(=O)NCc2ccc(F)cc2)oc2ccccc12
8,COc1ccc(N)cc1,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,COc1ccc(NC(=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1
9,NCc1ccccc1,N#Cc1ccc(C(=O)O)cc1,N#Cc1ccc(C(=O)NCc2ccccc2)cc1
10,Cc1ccc2cccc(N)c2n1,O=C(O)c1ccc2c(c1)OCCO2,Cc1ccc2cccc(NC(=O)c3ccc4c(c3)OCCO4)c2n1
11,CNc1ccc(OC)cc1,Cc1ccc2cc(C(=O)O)ccc2n1,COc1ccc(N(C)C(=O)c2ccc3nc(C)ccc3c2)cc1
12,Nc1ccc(F)nc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)Nc1ccc(F)nc1
13,CNOC,COc1ccc2cc(C(C)C(=O)O)ccc2c1,COc1ccc2cc(C(C)C(=O)N(C)OC)ccc2c1
14,CC1CCCNC1,O=C(O)Cc1ccc2c(c1)OCO2,CC1CCCN(C(=O)Cc2ccc3c(c2)OCO3)C1
15,NCc1ccc(F)cc1F,O=C(O)c1ccco1,O=C(NCc1ccc(F)cc1F)c1ccco1
16,COc1ccc(CN)cc1,COc1ccc2cc(C(C)C(=O)O)ccc2c1,COc1ccc(CNC(=O)C(C)c2ccc3cc(OC)ccc3c2)cc1
17,COC(=O)c1ccc(N)cc1,CC(NC(=O)OCc1ccccc1)C(=O)O,COC(=O)c1ccc(NC(=O)C(C)NC(=O)OCc2ccccc2)cc1
18,C#Cc1cccc(N)c1,Cc1ccc(C(=O)O)c2ccccc12,C#Cc1cccc(NC(=O)c2ccc(C)c3ccccc23)c1
19,Nc1ccc2c(c1)OCCO2,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)Nc1ccc2c(c1)OCCO2
20,CNc1ccc(OC)cc1,O=C(O)c1cc(Cl)cc(Cl)n1,COc1ccc(N(C)C(=O)c2cc(Cl)cc(Cl)n2)cc1
21,Nc1ccc2nccnc2c1,O=C(O)c1cnccn1,O=C(Nc1ccc2nccnc2c1)c1cnccn1
22,CC(=O)c1ccc(N)cc1,O=C(O)c1cc(Cl)cc(Cl)n1,CC(=O)c1ccc(NC(=O)c2cc(Cl)cc(Cl)n2)cc1
23,NC1CCc2ccccc21,O=C(O)COc1ccccc1,O=C(COc1ccccc1)NC1CCc2ccccc21
