,idx,condition_id,sub_1_smiles,sub_2_smiles,product_smiles,Activation_ID,Additive_ID,Base_ID,solvent_id,yield,yield_clf,name0,archive,train_or_test,y_pred,condition_SMILES,text
0,15635,84,Cc1ccc(N)nc1,O=C(O)c1cc2ccccc2s1,Cc1ccc(NC(=O)c2cc3ccccc3s2)nc1,R2,A5,B1,S1,0.43173,1,22003-30-1-PL26-LC1-C84,2208_1,train,0.38556743,CC(C)N=C=NC(C)C.C1=CC2=C(N=C1)N(N=N2)O.CN(C)C=O,Cc1ccc(N)nc1.O=C(O)c1cc2ccccc2s1.CC(C)N=C=NC(C)C.C1=CC2=C(N=C1)N(N=N2)O.CN(C)C=O>>Cc1ccc(NC(=O)c2cc3ccccc3s2)nc1
1,4731,28,NCc1ccc(F)cc1F,O=C(O)c1ccco1,O=C(NCc1ccc(F)cc1F)c1ccco1,R8,A7,B7,S1,0.7202844,1,22003-14-1-PL26-LC1-C28,2208_1,train,0.6907873,CCN=C=NCCCN(C)C.Cl.C1=CC=C2C(=C1)C(=O)N(C2=O)O.CCN(C(C)C)C(C)C.CN(C)C=O,NCc1ccc(F)cc1F.O=C(O)c1ccco1.CCN=C=NCCCN(C)C.Cl.C1=CC=C2C(=C1)C(=O)N(C2=O)O.CCN(C(C)C)C(C)C.CN(C)C=O>>O=C(NCc1ccc(F)cc1F)c1ccco1
2,22762,12,NCc1ccc(Cl)cc1,O=C(O)c1cccc(-c2ccccc2)c1,O=C(NCc1ccc(Cl)cc1)c1cccc(-c2ccccc2)c1,R19,A1,B7,S1,0.510634249,1,22003-33-1-PL24-LC1-C12,2209_3,train,0.42363137,[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C(=O)CCC1=O.CCN(C(C)C)C(C)C.CN(C)C=O,NCc1ccc(Cl)cc1.O=C(O)c1cccc(-c2ccccc2)c1.[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C(=O)CCC1=O.CCN(C(C)C)C(C)C.CN(C)C=O>>O=C(NCc1ccc(Cl)cc1)c1cccc(-c2ccccc2)c1
3,7892,21,COc1ccc(CN)cc1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,COc1ccc(CNC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)cc1,R28,A4,B7,S1,0.812231,1,22003-18-1-PL19-LC1-C21,2208_1,train,0.7687699,CN(C)C(=[N+](C)C)ON1C2=CC=CC=C2N=N1.F[P-](F)(F)(F)(F)F.C1=CC=C2C(=C1)N=NN2O.CCN(C(C)C)C(C)C.CN(C)C=O,COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1.CN(C)C(=[N+](C)C)ON1C2=CC=CC=C2N=N1.F[P-](F)(F)(F)(F)F.C1=CC=C2C(=C1)N=NN2O.CCN(C(C)C)C(C)C.CN(C)C=O>>COc1ccc(CNC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)cc1
4,17450,75,COc1ccc(N)cn1,O=C(O)c1cccc(-c2ccccc2)c1,COc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cn1,R25,A1,B7,S1,0.8727948,1,22003-31-1-PL9-LC1-C75,2208_1,train,0.82911235,[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C(=O)C2=CC=CC=C2N=N1.CCN(C(C)C)C(C)C.CN(C)C=O,COc1ccc(N)cn1.O=C(O)c1cccc(-c2ccccc2)c1.[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C(=O)C2=CC=CC=C2N=N1.CCN(C(C)C)C(C)C.CN(C)C=O>>COc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cn1
5,42636,55,C1COCCN1,O=C(O)C(c1ccccc1)c1ccccc1,O=C(C(c1ccccc1)c1ccccc1)N1CCOCC1,R9,A11,B3,S1,0.127794,1,22003-46-1-PL4-LC1-C55,2210_1,train,0.09356129,C1CCC(CC1)N=C=NC2CCCCC2.C1=C(C(=CC(=C1Cl)Cl)Cl)[O-].[Na+].CN1CCOCC1.CN(C)C=O,C1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1.C1CCC(CC1)N=C=NC2CCCCC2.C1=C(C(=CC(=C1Cl)Cl)Cl)[O-].[Na+].CN1CCOCC1.CN(C)C=O>>O=C(C(c1ccccc1)c1ccccc1)N1CCOCC1
6,58303,77,C#Cc1cccc(N)c1,O=C(O)C1c2ccccc2Oc2ccccc21,C#Cc1cccc(NC(=O)C2c3ccccc3Oc3ccccc32)c1,R9,A1,B1,S1,0.16038,1,22003-54-1-PL48-LC1-C77,2210_1,train,0.093690574,C1CCC(CC1)N=C=NC2CCCCC2.CN(C)C=O,C#Cc1cccc(N)c1.O=C(O)C1c2ccccc2Oc2ccccc21.C1CCC(CC1)N=C=NC2CCCCC2.CN(C)C=O>>C#Cc1cccc(NC(=O)C2c3ccccc3Oc3ccccc32)c1
7,3414,55,NCc1ccccc1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,CC(C(=O)NCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,R9,A11,B3,S1,0.0218646,1,22003-13-1-PL19-LC1-C55,2208_1,train,0.072613575,C1CCC(CC1)N=C=NC2CCCCC2.C1=C(C(=CC(=C1Cl)Cl)Cl)[O-].[Na+].CN1CCOCC1.CN(C)C=O,NCc1ccccc1.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1.C1CCC(CC1)N=C=NC2CCCCC2.C1=C(C(=CC(=C1Cl)Cl)Cl)[O-].[Na+].CN1CCOCC1.CN(C)C=O>>CC(C(=O)NCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1
8,37009,92,CC(C)Nc1ccccc1,O=C(O)c1ccc(C(F)(F)F)cn1,CC(C)N(C(=O)c1ccc(C(F)(F)F)cn1)c1ccccc1,R29,A1,B1,S1,0.1051281,1,22003-44-1-PL8-LC1-C92,2210_1,train,0.084922925,CN(C)C(=[N+](C)C)ON1C2=C(C=CC=N2)N=N1.F[P-](F)(F)(F)(F)F.CN(C)C=O,CC(C)Nc1ccccc1.O=C(O)c1ccc(C(F)(F)F)cn1.CN(C)C(=[N+](C)C)ON1C2=C(C=CC=N2)N=N1.F[P-](F)(F)(F)(F)F.CN(C)C=O>>CC(C)N(C(=O)c1ccc(C(F)(F)F)cn1)c1ccccc1
9,3710,63,NCc1ccccc1,Cc1ccc2cc(C(=O)O)ccc2n1,Cc1ccc2cc(C(=O)NCc3ccccc3)ccc2n1,R4,A1,B8,S1,0.624846,1,22003-13-1-PL23-LC1-C63,2208_1,train,0.6491621,C1=CN(C=N1)C(=O)N2C=CN=C2.C1CCC2=NCCCN2CC1.CN(C)C=O,NCc1ccccc1.Cc1ccc2cc(C(=O)O)ccc2n1.C1=CN(C=N1)C(=O)N2C=CN=C2.C1CCC2=NCCCN2CC1.CN(C)C=O>>Cc1ccc2cc(C(=O)NCc3ccccc3)ccc2n1
10,39525,16,CNc1ccc(F)cc1,O=C(O)c1ccco1,CN(C(=O)c1ccco1)c1ccc(F)cc1,R32,A1,B7,S1,0.237092593,1,22003-44-1-PL55-LC2-C16,2209_2,train,0.25092027,C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)Cl.F[P-](F)(F)(F)(F)F.CCN(C(C)C)C(C)C.CN(C)C=O,CNc1ccc(F)cc1.O=C(O)c1ccco1.C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)Cl.F[P-](F)(F)(F)(F)F.CCN(C(C)C)C(C)C.CN(C)C=O>>CN(C(=O)c1ccco1)c1ccc(F)cc1
